username,total_attempts,failures,failure_rate,unique_ips,odd_hours,z_score
jamie59,20,6,0.300,1,9,2.27
timothy59,20,6,0.300,1,1,2.27
lisa72,22,6,0.273,1,3,2.00
vazquezjudith,23,6,0.261,1,7,1.88
jmahoney,23,6,0.261,1,2,1.88
johnbenton,23,6,0.261,1,2,1.88
brianfrost,27,7,0.259,1,8,2.01,#
brandonduncan,24,6,0.250,1,13,1.76,#
peter87,24,6,0.250,1,3,1.76,
gprice,24,6,0.250,2,4,1.76,
jhall,21,5,0.238,1,2,1.48,
daniellestokes,21,5,0.238,1,7,1.48,
kimberlyrodriguez,21,5,0.238,1,3,1.48,
william98,21,5,0.238,1,4,1.48,
matthew58,22,5,0.227,1,9,1.37,
norrisjustin,22,5,0.227,1,6,1.37,
douglascurtis,23,5,0.217,1,1,1.26,
summer44,23,5,0.217,2,3,1.26,
panderson,23,5,0.217,1,1,1.26,
jessica17,23,5,0.217,1,8,1.26,
christopher33,19,4,0.211,1,7,1.05,
hquinn,19,4,0.211,1,2,1.05,
rhill,24,5,0.208,1,7,1.15,
alexanderstanley,24,5,0.208,1,4,1.15,
rsims,24,5,0.208,1,3,1.15,
douglasthompson,24,5,0.208,1,4,1.15,
gregory00,24,5,0.208,1,7,1.15,
travis79,24,5,0.208,1,4,1.15,
keith15,20,4,0.200,1,4,0.94,
freemansteve,20,4,0.200,1,6,0.94,
anna88,21,4,0.190,1,3,0.83,
ashleydavis,21,4,0.190,1,6,0.83,
rodriguezjonathon,21,4,0.190,1,8,0.83,
dbryant,21,4,0.190,1,8,0.83,
jessicaballard,22,4,0.182,1,6,0.73,
stacyhenderson,22,4,0.182,1,2,0.73,
haleybaker,22,4,0.182,1,5,0.73,
torresmichelle,22,4,0.182,1,8,0.73,
gshaw,22,4,0.182,1,2,0.73,
johngutierrez,23,4,0.174,1,3,0.64,
vallen,23,4,0.174,1,3,0.64,
lsims,23,4,0.174,1,5,0.64,
stephaniedennis,23,4,0.174,1,6,0.64,
mbutler,18,3,0.167,1,4,0.47,
timothy68,19,3,0.158,1,7,0.37,
frankscott,19,3,0.158,1,5,0.37,
leahryan,19,3,0.158,1,3,0.37,
owillis,19,3,0.158,1,5,0.37,
kaylee95,20,3,0.150,1,6,0.27,
parkercasey,20,3,0.150,1,2,0.27,
terrence47,20,3,0.150,1,3,0.27,
drichardson,20,3,0.150,1,6,0.27,
cheryl12,20,3,0.150,1,6,0.27,
conleyjames,20,3,0.150,1,3,0.27,
robert38,20,3,0.150,1,4,0.27,
ylopez,21,3,0.143,1,2,0.18,
elizabeththompson,21,3,0.143,1,2,0.18,
john63,21,3,0.143,1,5,0.18,
logankline,21,3,0.143,1,0,0.18,
lorilong,21,3,0.143,1,3,0.18,
melaniehernandez,21,3,0.143,2,4,0.18,
fernandezcourtney,21,3,0.143,1,8,0.18,
jeffrey82,21,3,0.143,2,3,0.18,
david67,22,3,0.136,1,2,0.10,
halljessica,22,3,0.136,1,5,0.10,
laurakaufman,22,3,0.136,1,1,0.10,
francisco90,22,3,0.136,2,6,0.10,
scottjohnson,22,3,0.136,1,8,0.10,
wilsonlisa,22,3,0.136,1,7,0.10,
debracollier,22,3,0.136,3,8,0.10,
hollandwendy,23,3,0.130,1,4,0.02,
kempjoel,23,3,0.130,1,5,0.02,
meganrose,23,3,0.130,1,6,0.02,
yvega,23,3,0.130,2,2,0.02,
johngarrison,23,3,0.130,1,5,0.02,
steven00,23,3,0.130,1,3,0.02,
kathleenbowman,17,2,0.118,1,1,-0.14,
rodneyjohnson,17,2,0.118,3,6,-0.14,
kylieabbott,18,2,0.111,1,4,-0.23,
foleyjose,18,2,0.111,1,3,-0.23,
jamiehunter,18,2,0.111,1,5,-0.23,
tarahunt,18,2,0.111,1,6,-0.23,
josephjohnson,18,2,0.111,1,3,-0.23,
werneranna,19,2,0.105,3,0,-0.31,
griffinashley,19,2,0.105,1,5,-0.31,
denisebaker,19,2,0.105,1,5,-0.31,
gary33,19,2,0.105,1,1,-0.31,
joycekim,19,2,0.105,1,0,-0.31,
marissa71,19,2,0.105,1,5,-0.31,
stephanie56,19,2,0.105,1,7,-0.31,
ywilliams,19,2,0.105,1,2,-0.31,
joseph60,20,2,0.100,2,1,-0.39,
oboyd,20,2,0.100,1,3,-0.39,
courtneyanderson,20,2,0.100,1,3,-0.39,
ggreene,20,2,0.100,1,3,-0.39,
kevin90,20,2,0.100,1,4,-0.39,
houstoncody,20,2,0.100,1,5,-0.39,
sharonmullen,20,2,0.100,1,3,-0.39,
tuckerpaula,20,2,0.100,1,6,-0.39,
michelle42,21,2,0.095,1,8,-0.47,
richardjuarez,21,2,0.095,1,4,-0.47,
fredberry,21,2,0.095,1,5,-0.47,
michael93,21,2,0.095,1,4,-0.47,
